year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2016,6,4,5,4,5,5,7,7,7,8,7,7
2017,5,3,4,4,5,5,7,7,7,8,7,7
2018,5,4,5,5,5,6,7,7,8,8,7,7
2019,5,4,6,5,6,6,7,8,8,8,8,7
2020,6,4,5,4,5,5,6,7,7,8,7,7
2021,5,3,5,4,5,5,7,7,7,8,7,7
2022,5,4,5,5,5,6,7,7,7,8,7,7
2023,5,4,6,5,6,6,7,8,8,8,8,7
2024,6,4,5,4,5,5,6,7,7,8,7,6
2025,5,3,5,4,5,5,7,7,7,8,7,7
2026,5,4,5,5,5,5,7,7,7,8,7,7
2027,5,4,6,5,6,6,7,8,8,8,7,7
2028,6,4,5,4,5,5,6,7,7,8,7,6
2029,5,3,5,4,5,5,7,7,7,8,7,7
2030,5,4,5,5,5,5,7,7,7,8,7,7
2031,5,4,6,5,6,6,7,8,8,8,7,7
2032,6,4,5,4,5,5,6,7,7,8,7,6
2033,5,3,5,4,5,5,7,7,7,8,7,7
2034,5,4,5,5,5,5,7,7,7,8,7,7
2035,5,4,6,5,4,6,7,7,8,8,7,7
2036,6,4,5,4,5,5,6,7,7,8,7,6
2037,5,3,5,4,5,5,7,7,7,7,7,7
2038,5,4,5,5,5,5,7,7,7,8,7,7
2039,5,4,6,5,5,6,7,7,8,8,7,7
2040,6,4,5,4,5,5,6,7,7,8,7,6
2041,5,3,5,4,5,5,7,7,7,8,7,7
2042,5,4,5,4,5,5,7,7,7,8,7,7
2043,5,4,6,5,5,6,7,7,8,8,7,7
2044,6,4,5,4,5,5,6,7,7,7,7,6
2045,5,3,5,4,5,5,7,7,7,8,7,7
2046,5,4,5,4,5,5,7,7,7,8,7,7
2047,5,4,6,5,5,6,7,7,8,8,7,7
2048,6,4,5,4,5,5,6,7,7,7,7,6
2049,5,3,5,4,5,5,6,7,7,8,7,7
2050,5,3,5,4,5,5,7,7,7,8,7,7
